Market,Stage,Spread (bps),Age (days),Trade Freq,Volume (24h),Viability,Rec
"2026 Balance of Power: D Senate, D House",EMERGING,100,3.3,0.0,11401,78,STRONG BUY
"2026 Balance of Power: R Senate, D House",EMERGING,100,0.4,0.2,2232,52,WATCH
Netanyahu out by end of 2026?,EMERGING,140,5.6,0.1,17104,65,BUY
Russia x Ukraine ceasefire by end of 2026?,EMERGING,100,0.0,23.7,26167,68,BUY
Russia-Ukraine Ceasefire before GTA VI?,EMERGING,120,0.1,4.1,352,50,WATCH
Trump out as President before GTA VI?,EMERGING,100,0.0,6.1,1395,52,WATCH
Will Arsenal win the 2025–26 Champions League,EMERGING,100,0.1,5.3,9519,54,WATCH
Will China invades Taiwan before GTA VI?,EMERGING,100,0.0,8.9,911,52,WATCH
Will Ivan Cepeda Castro win the 2026 Colombia,EMERGING,146,4.6,0.1,7017,75,STRONG BUY
Will J.D. Vance win the 2028 Republican presi,EMERGING,15,0.0,3.8,466826,62,BUY
Will Jesus Christ return before GTA VI?,EMERGING,100,0.0,7.3,33450,55,WATCH
Will John Cornyn win the 2026 Texas Republica,EMERGING,100,6.6,0.0,40318,57,WATCH
Will Ken Paxton win the 2026 Texas Republican,EMERGING,100,1.0,0.1,15919,72,STRONG BUY
Will MegaETH perform an airdrop by June 30?,EMERGING,181,2.7,0.3,9400,75,STRONG BUY
Will MegaETH perform an airdrop by June 30? ,EMERGING,53,2.6,0.0,6059,62,BUY
Will Paloma Valencia win the 2026 Colombian p,EMERGING,64,4.4,0.0,5814,42,SKIP
Will Wolves finish in last place in the 2025-,EMERGING,225,1.7,0.1,315,75,STRONG BUY
Will bitcoin hit $1m before GTA VI?,EMERGING,12,0.0,8.3,14826,58,WATCH
Will the Boston Celtics win the NBA Eastern C,EMERGING,497,0.0,5.1,380,77,STRONG BUY
Will the Democratic Party control the Senate ,EMERGING,100,2.4,1.0,6556,58,WATCH
Will the Democrats win the 2028 US Presidenti,MID,100,7.3,0.1,4467,61,BUY
Will the Oklahoma City Thunder win the 2026 N,EMERGING,100,6.6,0.0,52673,60,BUY
Will the Oklahoma City Thunder win the NBA We,EMERGING,100,2.4,0.4,1369,65,BUY
Will the Republican Party control the Senate ,EMERGING,100,2.3,0.2,5329,50,WATCH
Will the Republicans win the 2028 US Presiden,EMERGING,100,4.6,0.1,3691,49,SKIP
Will the next Prime Minister of Hungary be Pé,EMERGING,100,3.2,0.5,98582,72,STRONG BUY
Will the next Prime Minister of Hungary be Vi,MID,100,7.0,0.2,116005,56,WATCH
