run_id,mode,asset,signal,start_time,end_time,trades,win_rate,avg_pnl,total_pnl,drawdown
2026-04-16-12-31-48,2026-04-16T19:31:48.172469,2026-04-16T19:35:42.508018,300,48.7,-8.26,588.86,-3067.86,119.2,1.74,0,19.7
2026-04-16-12-51-20,2026-04-16T19:51:20.308998,2026-04-16T19:51:56.620253,362,47.8,-9.3,404.94,-3772.54,110.7,1.77,0,19.1
2026-04-16-16-24-14,2026-04-16T23:24:14.070859,2026-04-16T23:25:38.900408,1920,46.9,-6.25,1769.89,-13762.14,112.9,1.81,0,18.2
2026-04-16-18-50-40,2026-04-17T01:50:40.736838,2026-04-17T01:52:14.499932,2584,45.8,-8.12,409.51,-21398.86,101.9,1.77,0,17.6
2026-04-16-18-52-14,2026-04-17T01:52:14.503136,2026-04-17T01:52:46.158915,2584,45.8,-8.12,409.51,-21398.86,101.9,1.77,0,17.6
2026-04-16-20-34-20,2026-04-17T03:34:20.555305,2026-04-17T03:35:56.141051,2786,45.6,-8.1,541.68,-23097.97,102.3,1.77,0,17.5
2026-04-16-21-05-17,2026-04-17T04:05:17.085620,2026-04-17T04:06:11.726370,2948,45.1,-8.31,526.8,-25025.01,102.1,1.79,0,17.2
2026-04-16-21-06-11,2026-04-17T04:06:11.728048,2026-04-17T04:06:49.521452,2948,45.1,-8.31,526.8,-25025.01,102.1,1.79,0,17.2
2026-04-16-21-22-07,2026-04-17T04:22:07.395603,2026-04-17T04:22:36.419634,2982,45.0,-8.54,339.08,-25804.2,101.3,1.79,0,17.1
2026-04-16-21-22-36,2026-04-17T04:22:36.422173,2026-04-17T04:23:06.854979,2988,45.1,-8.47,356.47,-25654.76,101.4,1.78,0,17.2
2026-04-16-21-23-06,2026-04-17T04:23:06.857404,2026-04-17T04:23:23.389613,2994,45.1,-8.52,347.72,-25862.22,101.3,1.78,0,17.2
2026-04-16-21-23-23,2026-04-17T04:23:23.392293,2026-04-17T04:24:01.023606,2998,45.1,-8.51,351.99,-25867.45,101.4,1.78,0,17.2
2026-04-16-21-24-01,2026-04-17T04:24:01.025185,2026-04-17T04:24:53.256484,3000,45.2,-8.49,372.17,-25837.18,101.4,1.78,0,17.2
2026-04-16-21-24-53,2026-04-17T04:24:53.258805,2026-04-17T04:25:01.340790,3002,45.2,-8.43,437.68,-25757.21,101.7,1.78,0,17.2
2026-04-16-21-37-13,2026-04-17T04:37:13.869919,2026-04-17T04:37:46.083484,3010,45.3,-8.34,534.77,-25642.57,102.1,1.78,0,17.2
2026-04-16-21-37-46,2026-04-17T04:37:46.086503,2026-04-17T04:38:18.894860,3018,45.3,-8.37,508.0,-25759.41,102.0,1.78,0,17.3
2026-04-16-22-01-44,2026-04-17T05:01:44.582646,2026-04-17T05:02:08.666262,3024,45.3,-8.3,551.82,-25642.81,102.2,1.78,0,17.3
2026-04-16-22-41-16,2026-04-17T05:41:16.290591,2026-04-17T05:41:45.001161,3034,45.2,-8.39,394.43,-25864.02,101.5,1.78,0,17.2
2026-04-16-22-41-45,2026-04-17T05:41:45.005322,2026-04-17T05:42:35.824071,3044,45.2,-8.44,344.76,-26042.9,101.3,1.78,0,17.2
2026-04-16-22-42-35,2026-04-17T05:42:35.826392,2026-04-17T05:47:16.179800,3100,45.1,-8.52,249.79,-26666.89,100.9,1.78,0,17.2
2026-04-16-22-47-16,2026-04-17T05:47:16.181873,2026-04-17T05:47:46.555980,3102,45.1,-8.5,292.9,-26658.49,101.1,1.78,0,17.2
2026-04-16-22-47-46,2026-04-17T05:47:46.558582,2026-04-17T05:47:52.098580,3106,45.1,-8.44,365.07,-26582.45,101.4,1.78,0,17.2
2026-04-16-22-47-52,2026-04-17T05:47:52.102315,2026-04-17T05:48:01.688530,3106,45.1,-8.44,365.07,-26582.45,101.4,1.78,0,17.2
2026-04-16-22-48-01,2026-04-17T05:48:01.689971,2026-04-17T05:48:22.588425,3110,45.1,-8.39,446.41,-26531.36,101.7,1.78,0,17.1
2026-04-16-22-48-22,2026-04-17T05:48:22.590067,2026-04-17T05:48:29.553697,3112,45.2,-8.36,486.61,-26499.93,101.8,1.77,0,17.2
2026-04-16-22-48-29,2026-04-17T05:48:29.556082,2026-04-17T05:48:56.890115,3114,45.2,-8.34,492.99,-26450.8,101.9,1.77,0,17.2
2026-04-16-22-48-56,2026-04-17T05:48:56.892150,2026-04-17T05:49:49.162780,3130,45.1,-8.38,529.68,-26744.58,102.0,1.78,0,17.2
