run_id,timestamp,asset,signal,source,side,entry_price,exit_price,expected_fill,shadow_fill,pnl,pnl_bps,duration,regime
,2026-04-22T03:11:20.442285,ETH,Mean Reversion,paper,long,2375.33,2375.27,2375.33,2375.33,-0.24,-0.2,988,ranging
,2026-04-22T03:11:20.444519,ETH,Mean Reversion,shadow,long,2376.5,2374.53,2375.24,2376.5,-18.3,-108.3,2415,ranging
,2026-04-22T03:11:26.506668,BTC,Mean Reversion,paper,short,77642.87,77647.35,77642.87,77642.87,-0.58,-0.6,3509,trending
,2026-04-22T03:11:26.508973,BTC,Mean Reversion,shadow,short,77656.03,77667.75,77644.46,77656.03,-11.51,-101.5,459,trending
,2026-04-22T03:11:27.519502,ETH,Mean Reversion,paper,short,2375.31,2375.62,2375.31,2375.31,-1.28,-1.3,2633,low_vol
,2026-04-22T03:11:27.520276,ETH,Mean Reversion,shadow,short,2375.46,2375.92,2375.21,2375.46,-11.95,-102.0,748,low_vol
,2026-04-22T03:11:32.052269,BTC,Mean Reversion,paper,short,77650.68,77653.75,77650.68,77650.68,-0.4,-0.4,228,ranging
,2026-04-22T03:11:32.053151,BTC,Mean Reversion,shadow,short,77649.81,77669.85,77646.55,77649.81,-12.58,-102.6,665,ranging
,2026-04-22T03:11:32.553962,ETH,Mean Reversion,paper,long,2375.12,2374.78,2375.12,2375.12,-1.41,-1.4,803,trending
,2026-04-22T03:11:32.554485,ETH,Mean Reversion,shadow,long,2376.8,2374.43,2375.14,2376.8,-19.97,-110.0,3457,trending
,2026-04-22T03:11:35.585919,BTC,Mean Reversion,paper,long,77640.57,77651.23,77640.57,77640.57,1.37,1.4,635,low_vol
,2026-04-22T03:11:35.587527,BTC,Mean Reversion,shadow,long,77689.17,77623.26,77646.55,77689.17,-18.48,-108.5,546,low_vol
,2026-04-22T03:11:44.150923,BTC,Mean Reversion,paper,long,77666.92,77662.01,77666.92,77666.92,-0.63,-0.6,2968,ranging
,2026-04-22T03:11:44.152057,BTC,Mean Reversion,shadow,long,77704.06,77630.32,77653.61,77704.06,-19.49,-109.5,1523,ranging
,2026-04-22T03:11:54.223122,BTC,Mean Reversion,paper,long,77663.99,77664.01,77663.99,77663.99,0.0,0.0,1109,ranging
,2026-04-22T03:11:54.225169,BTC,Mean Reversion,shadow,long,77703.75,77639.23,77662.52,77703.75,-18.3,-108.3,3400,ranging
,2026-04-22T03:12:02.797397,BTC,Mean Reversion,paper,short,77664.0,77651.91,77664.0,77664.0,1.56,1.6,2898,trending
,2026-04-22T03:12:02.799204,BTC,Mean Reversion,shadow,short,77672.15,77688.35,77665.05,77672.15,-12.09,-102.1,2700,trending
,2026-04-22T03:12:03.811303,BTC,Mean Reversion,paper,short,77669.47,77659.97,77669.47,77669.47,1.22,1.2,2089,low_vol
,2026-04-22T03:12:03.812137,BTC,Mean Reversion,shadow,short,77662.8,77688.37,77665.08,77662.8,-13.29,-103.3,3524,low_vol
,2026-04-22T03:12:08.850063,ETH,Mean Reversion,paper,short,2376.03,2375.99,2376.03,2376.03,0.17,0.2,2299,trending
,2026-04-22T03:12:08.851040,ETH,Mean Reversion,shadow,short,2375.82,2376.6,2375.89,2375.82,-13.26,-103.3,1687,trending
,2026-04-22T03:12:11.375756,ETH,Mean Reversion,paper,long,2375.86,2375.8,2375.86,2375.86,-0.25,-0.3,3347,trending
,2026-04-22T03:12:11.376663,ETH,Mean Reversion,shadow,long,2377.24,2375.04,2375.76,2377.24,-19.27,-109.3,1417,trending
,2026-04-22T03:12:13.898349,ETH,Mean Reversion,paper,long,2376.0,2375.48,2376.0,2376.0,-2.19,-2.2,2174,trending
,2026-04-22T03:12:13.899076,ETH,Mean Reversion,shadow,long,2377.59,2374.99,2375.7,2377.59,-20.94,-110.9,920,trending
,2026-04-22T03:12:15.909856,ETH,Mean Reversion,paper,short,2375.76,2375.22,2375.76,2375.76,2.27,2.3,2061,high_vol
,2026-04-22T03:12:15.911460,ETH,Mean Reversion,shadow,short,2375.36,2376.12,2375.4,2375.36,-13.21,-103.2,528,high_vol
,2026-04-22T03:19:43.031945,ETH,Mean Reversion,paper,long,2363.41,2363.76,2363.41,2363.41,1.49,1.5,2057,ranging
,2026-04-22T03:19:43.034100,ETH,Mean Reversion,shadow,long,2364.9,2363.0,2363.7,2364.9,-18.05,-108.1,2356,ranging
,2026-04-22T03:19:51.056423,ETH,Mean Reversion,paper,short,2364.46,2363.73,2364.46,2364.46,3.1,3.1,2860,low_vol
,2026-04-22T03:19:51.058513,ETH,Mean Reversion,shadow,short,2363.87,2364.7,2363.99,2363.87,-13.54,-103.5,439,low_vol
,2026-04-22T03:20:03.098742,ETH,Mean Reversion,paper,long,2363.43,2363.35,2363.43,2363.43,-0.35,-0.4,2658,low_vol
,2026-04-22T03:20:03.099992,ETH,Mean Reversion,shadow,long,2365.57,2363.0,2363.7,2365.57,-20.89,-110.9,2489,low_vol
,2026-04-22T03:20:07.118924,BTC,Mean Reversion,paper,long,77456.39,77454.54,77456.39,77456.39,-0.24,-0.2,2911,high_vol
,2026-04-22T03:20:07.119626,BTC,Mean Reversion,shadow,long,77510.1,77430.48,77453.71,77510.1,-20.27,-110.3,441,high_vol
,2026-04-22T03:20:09.125759,ETH,Mean Reversion,paper,long,2365.29,2365.36,2365.29,2365.29,0.29,0.3,1921,low_vol
,2026-04-22T03:20:09.127109,ETH,Mean Reversion,shadow,long,2367.05,2364.72,2365.43,2367.05,-19.84,-109.8,2791,low_vol
